"ID","country","Q24A","Q85A","Q85B","Q85C","Q85D","q100us"
"230","19","8","2","1","1","1","1"
"231","19","1","1","1","1","2","1"
"232","19","2","2","1","2","4","2"
"233","19","2","4","1","2","1","2"
"234","19","2","3","2","3","2","1"
"235","19","2","3","1","3","1","2"
"236","19","2","1","1","4","2","2"
"237","19","2","3","1","1","1","2"
"238","19","2","2","1","3","1","1"
"239","19","2","1","1","1","1","1"
"240","19","2","8","2","1","1","2"
"241","19","2","3","2","4","3","1"
"242","19","2","1","1","1","1","1"
"243","19","2","2","1","4","2","2"
"244","19","1","1","1","3","2","2"
"245","19","2","1","1","2","2","1"
"246","19","2","2","1","3","1","1"
"247","19","2","1","1","2","2","1"
"248","19","2","3","3","4","2","2"
"249","19","2","4","3","4","4","1"
"250","19","2","3","1","3","1","2"
"251","19","8","3","1","2","1","1"
"252","19","8","4","1","4","1","1"
"253","19","2","2","1","4","3","3"
"254","19","2","4","1","2","2","8"
"255","19","2","1","2","2","1","2"
"256","19","2","4","1","1","1","2"
"257","19","1","3","1","2","2","2"
"258","19","2","4","2","4","2","2"
"259","19","2","1","1","1","1","1"
"260","19","2","1","1","4","1","1"
"261","19","2","1","1","2","2","1"
"262","19","2","3","1","4","2","2"
"263","19","8","4","1","1","1","1"
"264","19","2","2","1","2","1","1"
"265","19","2","4","2","4","3","1"
"266","19","2","2","1","2","1","1"
"267","19","2","3","2","4","1","1"
"268","19","1","3","1","1","1","1"
"269","19","2","4","2","4","2","1"
"270","19","2","2","1","1","1","2"
"271","19","2","4","2","4","1","2"
"272","19","2","1","2","4","1","1"
"273","19","2","1","1","1","1","2"
"274","19","2","1","1","1","1","2"
"275","19","2","4","2","1","1","1"
"276","19","2","4","1","4","2","2"
"277","19","2","4","4","4","4","2"
"278","19","2","3","1","4","2","1"
"279","19","2","1","1","1","2","1"
"280","19","2","1","1","3","1","1"
"281","19","2","4","1","1","1","2"
"282","19","2","2","2","4","2","2"
"283","19","2","2","1","2","1","1"
"284","19","2","4","1","2","2","4"
"285","19","2","4","1","1","1","1"
"286","19","2","3","1","4","2","2"
"287","19","2","4","2","3","2","4"
"288","19","2","1","1","1","2","3"
"289","19","2","2","2","1","2","1"
"290","19","2","4","1","4","2","1"
"291","19","2","4","1","4","2","1"
"292","19","2","2","1","4","1","2"
"293","19","1","1","1","4","1","1"
"294","19","2","3","2","2","1","2"
"295","19","2","2","1","4","2","2"
"296","19","2","4","1","8","1","3"
"297","19","2","2","1","4","8","3"
"298","19","9","4","2","4","3","2"
"299","19","2","3","1","4","4","1"
"300","19","2","4","2","4","3","1"
"301","19","2","2","1","4","1","4"
"302","19","1","2","2","4","2","1"
"303","19","2","3","1","3","2","1"
"304","19","2","3","2","4","2","1"
"305","19","2","4","3","4","2","1"
"306","19","2","1","1","4","1","4"
"307","19","2","3","1","2","2","2"
"308","19","2","3","3","3","3","1"
"309","19","2","3","1","2","2","1"
"310","19","2","2","2","4","3","1"
"311","19","2","3","1","3","2","1"
"312","19","2","2","1","1","2","1"
"313","19","2","3","2","3","3","1"
"314","19","2","4","3","4","3","2"
"315","19","8","4","1","3","1","1"
"316","19","1","4","2","1","4","2"
"317","19","8","4","1","4","1","8"
"318","19","2","4","2","3","2","1"
"319","19","2","4","1","4","2","2"
"320","19","2","3","1","2","2","1"
