"ID","country","Q2","Q4","Q5","Q6","Q6N","Q7","Q23","Q30","Q46a","Q46b","Q46c"
"8592","3","1","2","2","3","1","1","2","2","1","2","2"
"8593","3","1","2","2","2","1","1","1","1","1","1","1"
"8594","3","1","1","1","1","1","1","2","1","1","9","9"
"8595","3","1","1","2","1","1","9","2","1","1","9","9"
"8596","3","1","1","2","1","1","1","1","1","1","9","9"
"8597","3","1","1","9","1","1","1","2","1","1","9","9"
"8598","3","8","1","9","1","1","1","1","1","1","9","9"
"8599","3","1","1","1","1","1","1","2","1","1","9","9"
"8600","3","2","1","1","1","1","1","2","1","1","9","9"
"8601","3","1","1","1","1","1","1","2","1","1","9","9"
"8602","3","1","1","9","1","1","1","1","1","1","9","9"
"8603","3","1","1","1","1","1","1","1","1","1","9","9"
"8604","3","1","3","8","3","1","1","1","3","1","1","2"
"8605","3","1","3","2","3","1","1","1","2","1","1","2"
"8606","3","1","2","2","2","1","1","2","3","1","1","9"
"8607","3","1","3","2","1","1","1","1","2","2","2","1"
"8608","3","1","2","2","2","1","1","2","2","1","2","2"
"8609","3","1","3","2","3","1","1","2","3","2","2","9"
"8610","3","1","2","2","3","1","1","1","3","1","2","2"
"8611","3","1","3","2","3","1","1","2","3","1","2","1"
"8612","3","1","2","8","3","1","1","1","2","2","1","1"
"8613","3","1","2","2","3","3","1","2","2","1","1","2"
"8614","3","1","2","2","3","1","1","1","2","1","1","2"
"8615","3","1","1","2","2","1","8","2","8","2","2","2"
"8616","3","1","2","2","2","1","8","98","3","2","2","8"
"8617","3","1","2","2","2","1","1","2","3","1","2","1"
"8618","3","1","2","2","2","1","8","98","8","8","9","8"
"8619","3","1","1","2","2","1","1","2","8","2","2","2"
"8620","3","1","2","2","2","1","1","2","2","2","2","2"
"8621","3","1","2","2","2","1","8","2","8","8","8","8"
"8622","3","1","2","2","2","1","1","2","3","2","2","2"
"8623","3","1","2","2","2","3","8","2","2","1","1","1"
"8624","3","1","1","2","2","1","1","2","2","2","2","1"
"8625","3","1","2","2","2","1","1","2","8","8","8","8"
"8626","3","1","2","2","2","1","1","1","2","1","2","1"
"8627","3","1","1","2","2","3","8","2","8","2","8","8"
"8628","3","1","2","9","3","1","1","1","2","2","2","1"
"8629","3","1","2","2","2","1","1","2","8","8","8","8"
"8630","3","1","2","2","2","1","1","1","3","8","2","2"
"8631","3","1","2","3","4","2","2","1","8","2","2","1"
"8632","3","1","3","2","3","1","1","2","2","2","2","1"
"8633","3","1","2","2","2","1","8","98","3","8","9","2"
"8634","3","1","2","2","2","1","8","2","8","8","1","1"
"8635","3","1","3","2","3","1","1","2","2","2","2","2"
"8636","3","1","1","2","1","1","8","2","1","1","2","2"
"8637","3","1","2","2","2","1","1","2","2","2","2","1"
"8638","3","1","2","2","2","1","8","98","8","8","8","8"
"8639","3","1","2","2","3","1","1","98","2","2","2","1"
"8640","3","1","3","2","2","1","1","2","2","2","2","1"
"8641","3","1","8","8","2","8","8","98","8","2","2","2"
"8642","3","1","2","2","2","1","1","2","2","2","2","1"
"8643","3","1","1","2","2","1","8","2","8","8","8","8"
"8644","3","1","2","2","2","3","8","98","8","2","2","2"
"8645","3","1","1","2","1","1","1","1","2","1","1","1"
"8646","3","1","2","2","2","1","8","2","8","8","8","8"
"8647","3","1","2","2","2","1","1","2","3","9","2","9"
"8648","3","1","2","2","2","1","1","2","3","2","2","1"
"8649","3","1","2","2","2","1","1","2","2","2","2","2"
"8650","3","1","2","9","2","2","8","2","8","2","2","8"
"8651","3","1","2","2","2","1","1","2","8","2","1","1"
"8652","3","1","2","9","2","2","8","2","1","2","8","1"
"8653","3","1","1","2","1","1","1","98","3","8","8","8"
"8654","3","1","2","2","2","1","1","98","8","8","8","8"
"8655","3","1","2","2","2","1","1","98","8","8","8","8"
"8656","3","1","2","2","3","1","1","2","2","1","2","1"
"8657","3","1","2","2","3","3","1","2","2","1","1","1"
"8658","3","1","3","9","2","1","1","2","2","1","2","1"
"8659","3","1","2","2","3","1","1","2","2","1","1","1"
"8660","3","1","2","2","2","1","1","2","2","2","1","1"
"8661","3","1","3","2","3","3","1","1","2","2","1","1"
"8662","3","1","2","2","2","1","1","2","2","2","2","1"
"8663","3","1","2","2","2","1","1","2","2","2","2","1"
"8664","3","1","2","2","3","3","1","98","2","2","2","2"
"8665","3","1","2","2","2","1","1","2","2","2","2","1"
"8666","3","1","8","2","2","1","8","1","3","2","2","1"
"8667","3","1","2","2","8","3","1","98","2","2","2","1"
"8668","3","1","3","2","2","1","1","2","2","2","2","8"
"8669","3","1","2","2","2","1","3","2","1","2","2","1"
"8670","3","1","2","2","2","1","1","2","8","2","2","1"
"8671","3","1","3","8","3","1","8","97","8","2","2","2"
"8672","3","1","2","2","2","3","3","4","8","2","1","8"
"8673","3","1","2","9","3","1","1","2","8","2","1","1"
"8674","3","1","2","9","2","1","1","98","3","1","1","1"
"8675","3","1","2","9","2","1","1","4","8","1","1","1"
"8676","3","1","3","9","2","3","1","1","2","1","2","1"
"8677","3","1","1","9","4","2","1","2","2","9","9","1"
"8678","3","1","2","2","2","1","1","1","2","8","2","1"
"8679","3","1","2","2","3","1","1","1","2","1","2","1"
"8680","3","1","3","2","4","8","1","2","2","2","2","1"
"8681","3","1","8","3","1","1","1","2","2","1","2","1"
"8682","3","1","1","3","1","2","3","2","2","1","1","1"
"8683","3","1","1","9","1","1","1","1","2","1","2","1"
"8684","3","2","4","3","5","2","8","1","3","2","2","1"
"8685","3","1","1","9","2","1","1","2","3","2","2","1"
"8686","3","1","2","2","2","1","1","2","2","1","2","1"
"8687","3","1","2","2","2","1","1","2","2","1","2","2"
"8688","3","1","3","2","2","1","1","2","2","2","2","2"
"8689","3","1","2","9","3","1","1","2","2","1","1","1"
"8690","3","1","2","9","2","1","1","2","2","2","2","1"
"8691","3","1","3","2","2","1","1","2","2","2","2","2"
"8692","3","1","2","9","3","1","1","98","2","2","2","1"
"8693","3","1","2","2","2","1","1","2","2","2","2","1"
"8694","3","1","2","2","2","1","1","2","2","2","2","1"
"8695","3","1","2","2","4","2","8","1","8","1","2","1"
"8696","3","1","3","9","2","3","1","1","2","2","2","1"
"8697","3","1","4","3","4","3","1","2","3","8","1","2"
"8698","3","2","4","9","2","1","3","4","2","2","2","2"
"8699","3","1","2","2","2","1","1","2","1","2","1","1"
"8700","3","1","2","2","2","1","1","98","8","8","8","8"
"8701","3","1","2","2","2","1","1","2","3","8","8","2"
"8702","3","1","2","2","2","1","1","1","3","1","1","1"
"8703","3","1","2","2","2","1","1","4","8","2","1","8"
"8704","3","9","3","9","2","1","1","2","8","2","2","2"
"8705","3","2","3","3","2","3","1","2","3","2","2","2"
"8706","3","1","2","2","1","1","1","1","1","1","1","1"
"8707","3","1","2","9","1","1","1","1","1","1","1","1"
"8708","3","1","2","2","1","1","1","1","1","2","1","1"
"8709","3","1","2","2","2","1","1","1","1","1","1","1"
"8710","3","1","1","2","1","1","1","1","2","1","1","1"
"8711","3","1","2","2","1","1","1","1","1","1","1","1"
"8712","3","1","1","2","1","1","1","2","1","1","2","1"
"8713","3","1","2","2","1","1","1","1","1","1","1","1"
"8714","3","1","2","2","2","1","1","1","1","1","1","1"
"8715","3","1","2","2","1","1","1","2","1","1","1","1"
"8716","3","1","2","2","1","1","1","1","1","1","1","1"
"8717","3","1","2","2","2","3","1","1","2","1","1","1"
"8718","3","1","2","2","1","1","1","1","2","1","1","1"
"8719","3","1","2","2","1","1","1","1","1","1","1","1"
"8720","3","1","2","2","2","1","1","2","1","1","1","1"
"8721","3","1","2","2","1","1","1","1","1","1","1","1"
"8722","3","1","2","2","1","1","1","2","1","1","1","1"
"8723","3","1","2","2","1","1","1","1","1","1","1","1"
"8724","3","1","2","2","2","1","1","2","2","1","1","1"
"8725","3","1","2","2","1","1","1","1","2","1","1","1"
"8726","3","1","1","2","2","1","1","2","1","1","1","1"
"8727","3","1","1","2","1","1","1","2","1","1","1","1"
"8728","3","1","2","2","2","3","1","1","2","1","1","1"
"8729","3","1","2","2","2","1","1","2","1","1","1","2"
"8730","3","1","2","2","1","3","1","1","2","1","2","1"
"8731","3","1","3","2","2","3","1","1","2","1","2","1"
"8732","3","1","2","2","2","3","1","4","2","1","1","1"
"8733","3","1","2","2","1","3","1","1","1","1","1","1"
"8734","3","1","2","2","2","3","1","1","2","1","1","1"
"8735","3","1","2","2","2","3","1","1","1","1","1","1"
"8736","3","1","2","2","1","3","1","1","2","1","1","1"
"8737","3","1","2","2","1","3","1","1","2","1","1","1"
"8738","3","1","2","2","2","3","1","2","1","1","1","1"
"8739","3","1","2","2","2","3","1","1","1","1","1","1"
"8740","3","1","2","2","2","3","1","1","1","1","1","1"
"8741","3","1","2","2","2","3","1","1","2","1","1","2"
"8742","3","1","2","2","1","1","1","1","1","1","2","2"
"8743","3","1","2","2","2","1","3","1","2","1","1","1"
"8744","3","1","2","2","2","3","1","4","1","1","1","1"
"8745","3","1","2","2","2","3","1","1","1","1","1","1"
"8746","3","1","2","2","1","2","1","1","1","1","1","1"
"8747","3","1","3","2","2","1","1","1","2","1","1","1"
"8748","3","1","2","2","2","3","1","1","1","1","1","1"
"8749","3","1","2","2","2","1","1","1","2","1","1","1"
"8750","3","1","2","2","2","3","3","1","1","1","1","2"
"8751","3","1","3","2","3","3","3","1","1","1","2","1"
"8752","3","1","3","2","2","1","1","1","2","1","1","2"
"8753","3","1","2","1","1","1","1","1","2","1","1","1"
"8754","3","1","2","2","2","3","3","1","3","1","1","1"
"8755","3","2","3","3","3","3","2","1","1","1","2","2"
"8756","3","1","1","1","1","1","3","1","1","1","2","1"
"8757","3","2","3","3","3","3","2","1","3","2","2","2"
"8758","3","1","2","2","2","3","3","1","2","1","2","1"
"8759","3","1","3","2","3","3","8","1","2","1","1","1"
"8760","3","2","2","2","2","2","8","1","8","8","2","1"
"8761","3","8","3","2","3","1","8","1","8","8","8","8"
"8762","3","2","3","2","2","1","2","1","8","2","1","2"
"8763","3","1","1","2","1","1","1","1","1","1","2","1"
"8764","3","8","2","3","3","3","2","1","2","1","2","1"
"8765","3","2","3","3","4","3","8","1","1","2","1","2"
"8766","3","1","1","1","1","1","1","1","1","2","1","1"
"8767","3","1","2","2","2","1","1","4","2","1","1","1"
"8768","3","2","2","2","2","1","1","2","2","1","8","1"
"8769","3","2","1","2","2","1","1","2","1","1","2","2"
"8770","3","1","2","2","2","1","1","1","1","2","1","1"
"8771","3","2","2","2","2","1","1","2","8","8","8","8"
"8772","3","1","2","2","2","1","1","1","1","1","2","1"
"8773","3","1","2","2","1","1","3","4","1","1","2","2"
"8774","3","2","2","1","1","1","2","1","1","2","1","2"
"8775","3","1","2","2","1","1","1","4","1","1","1","1"
"8776","3","1","3","2","2","3","8","2","1","2","1","1"
"8777","3","1","3","3","4","2","8","2","2","1","2","2"
"8778","3","1","3","3","3","3","8","1","1","1","1","1"
"8779","3","1","2","2","3","3","1","1","1","1","1","2"
"8780","3","1","2","2","2","1","1","1","3","1","2","1"
"8781","3","1","3","2","2","3","3","1","1","1","1","1"
"8782","3","2","2","3","3","1","1","2","3","1","1","2"
"8783","3","1","2","2","1","1","1","2","3","1","1","1"
"8784","3","1","2","3","4","1","1","2","3","1","1","1"
"8785","3","1","1","2","2","1","1","2","3","1","2","1"
"8786","3","2","3","2","4","1","1","2","3","1","2","1"
"8787","3","1","2","3","3","1","1","2","2","1","1","1"
"8788","3","1","2","3","4","1","1","2","3","1","2","1"
"8789","3","1","2","3","3","1","1","2","1","2","1","2"
"8790","3","1","2","2","3","1","1","2","3","2","1","1"
"8791","3","1","2","2","2","1","1","2","1","1","2","1"
"8792","3","1","1","2","2","1","1","2","3","1","1","1"
"8793","3","1","2","3","3","1","1","2","3","1","2","1"
"8794","3","1","2","2","2","1","1","2","1","1","2","1"
"8795","3","1","1","2","1","1","9","97","3","1","2","1"
"8796","3","1","1","2","2","1","1","2","3","2","2","2"
"8797","3","1","1","2","3","1","1","2","3","1","2","2"
"8798","3","1","2","2","4","1","1","2","1","1","2","2"
"8799","3","1","2","2","2","1","1","2","3","2","2","1"
"8800","3","1","2","2","3","1","1","2","3","1","1","1"
