"ID","country","q3","Q10A","Q10B","Q24B","Q27A","Q27B","Q27C","Q27D","Q27E","Q27F","q56"
"113","19","3","3","2","2","2","1","2","2","1","2","2"
"114","19","3","1","3","1","2","1","1","1","1","2","3"
"115","19","2","1","4","1","2","1","8","2","2","2","9"
"116","19","4","1","2","1","1","1","2","1","2","2","2"
"117","19","1","1","8","1","1","1","2","1","1","2","2"
"118","19","2","2","2","2","1","1","1","2","1","1","1"
"119","19","3","2","4","1","2","1","2","2","1","1","1"
"120","19","4","2","2","1","1","1","1","1","1","1","2"
"121","19","4","9","4","2","2","1","1","1","2","1","2"
"122","19","2","1","4","1","1","1","1","1","1","2","1"
"123","19","2","1","3","1","1","1","2","2","1","2","1"
"124","19","2","1","3","1","1","1","1","1","2","1","2"
"125","19","4","1","4","2","2","1","2","1","1","2","2"
"126","19","4","2","2","2","1","1","1","1","1","1","1"
"127","19","9","3","3","2","2","2","2","1","1","2","1"
"128","19","2","1","3","1","2","1","2","1","1","1","1"
"129","19","3","2","8","2","1","1","1","1","1","1","3"
"130","19","4","1","1","1","1","1","2","1","2","1","1"
"131","19","2","2","3","2","1","1","2","1","1","1","3"
"132","19","2","1","2","2","2","1","1","1","1","1","2"
"133","19","3","1","3","1","2","1","1","1","1","1","2"
"134","19","2","1","2","1","1","1","1","1","1","1","1"
"135","19","2","2","4","1","1","2","1","1","2","2","1"
"136","19","3","1","3","1","2","2","1","2","1","1","2"
"137","19","4","2","4","2","1","1","1","1","2","9","2"
"138","19","3","1","4","1","2","1","2","2","1","2","1"
"139","19","3","3","2","2","2","1","2","2","2","1","4"
"140","19","3","2","4","1","2","1","2","1","1","2","2"
"141","19","4","2","1","2","1","1","1","2","1","1","2"
"142","19","2","1","2","1","2","1","8","1","1","1","1"
"143","19","4","2","9","1","2","1","2","9","2","2","2"
"144","19","2","1","4","1","1","1","1","2","1","2","3"
"145","19","2","2","3","1","1","1","1","1","1","1","1"
"146","19","2","2","3","2","2","1","2","2","1","2","3"
"147","19","2","2","2","1","2","1","2","1","1","2","1"
"148","19","9","2","8","8","2","8","8","1","1","8","1"
"149","19","3","3","2","2","1","1","1","1","1","1","1"
"150","19","4","1","4","2","2","2","2","1","1","2","2"
"151","19","4","1","3","1","2","1","1","1","1","2","2"
"152","19","2","2","8","1","1","1","1","1","1","2","1"
"153","19","4","4","8","2","2","1","1","2","2","1","2"
"154","19","2","1","3","1","1","2","1","2","2","1","2"
"155","19","1","1","3","1","1","1","2","1","1","1","1"
"156","19","4","2","3","1","1","1","1","2","1","1","1"
"157","19","3","1","4","1","2","1","2","2","1","2","2"
"158","19","4","1","3","2","2","1","2","2","2","2","1"
"159","19","3","2","4","1","2","1","2","1","1","2","2"
"160","19","2","1","2","1","2","1","2","1","1","2","2"
"161","19","3","2","3","1","2","1","2","2","1","2","1"
"162","19","3","1","4","2","2","1","2","1","1","2","2"
"163","19","2","2","2","1","2","1","1","2","2","1","1"
"164","19","2","1","2","1","1","1","1","1","1","1","1"
"165","19","2","2","3","1","2","1","1","2","1","1","1"
"166","19","4","4","4","2","1","2","1","1","9","1","1"
"167","19","4","1","3","1","2","1","2","1","1","2","2"
"168","19","2","3","3","1","2","2","1","2","1","1","1"
"169","19","1","2","8","1","2","1","2","1","1","2","2"
"170","19","3","1","8","1","2","1","2","1","1","2","2"
"171","19","3","2","3","1","2","1","2","1","1","2","2"
"172","19","3","9","3","1","2","1","1","2","1","2","2"
"173","19","2","2","3","1","2","1","2","1","1","2","2"
"174","19","2","2","4","1","2","1","2","1","1","2","2"
"175","19","2","2","2","1","2","1","8","1","1","2","1"
"176","19","3","2","2","1","2","1","2","1","1","1","1"
"177","19","2","1","2","1","2","1","2","1","1","2","2"
"178","19","2","1","9","1","1","1","9","1","1","9","1"
"179","19","2","1","3","1","2","1","1","1","2","2","2"
"180","19","3","1","4","1","2","1","2","2","2","2","2"
"181","19","4","3","4","1","1","2","1","1","2","1","1"
"182","19","2","2","4","2","1","1","1","2","1","1","1"
"183","19","3","1","3","1","1","1","2","1","1","2","2"
"184","19","2","1","3","1","2","1","1","1","1","1","1"
"185","19","2","2","3","1","1","2","1","2","1","1","1"
"186","19","2","2","2","1","2","1","2","1","1","2","1"
"187","19","2","2","4","2","2","1","2","1","1","2","1"
"188","19","2","3","4","1","2","1","2","2","1","1","2"
"189","19","4","4","2","2","1","1","1","2","2","1","2"
"190","19","4","2","2","1","2","1","2","1","1","1","2"
"191","19","3","2","3","2","1","1","1","2","2","2","2"
"192","19","3","1","4","1","2","1","2","1","1","2","2"
"193","19","4","4","4","2","2","2","1","1","1","2","2"
"194","19","3","8","3","1","2","1","2","2","1","2","2"
"195","19","2","2","2","1","1","1","2","1","1","2","2"
"196","19","2","1","3","1","1","1","1","1","1","1","1"
"197","19","2","1","3","2","1","1","2","2","2","2","1"
"198","19","4","3","2","1","2","2","2","1","2","1","2"
"199","19","1","1","1","1","1","1","2","1","1","2","1"
"200","19","4","1","3","1","8","1","2","1","1","2","2"
"201","19","2","2","3","1","1","1","2","1","2","2","2"
"202","19","2","8","1","2","1","1","2","2","2","2","1"
"203","19","2","2","2","2","1","2","1","2","2","1","1"
"204","19","3","3","8","8","2","2","2","2","1","1","3"
"205","19","4","1","4","1","1","1","1","1","1","1","1"
"206","19","2","1","3","1","2","1","1","1","1","2","1"
"207","19","2","2","8","2","2","1","1","1","1","1","1"
"208","19","1","1","3","1","2","1","2","1","1","2","2"
"209","19","3","2","4","1","1","1","1","1","1","1","3"
"210","19","2","1","9","2","1","2","1","2","2","1","2"
"211","19","1","1","8","1","2","1","2","1","1","2","1"
"212","19","3","2","3","1","2","1","2","1","1","2","2"
"213","19","3","2","3","2","2","1","1","1","1","2","2"
"214","19","3","2","2","2","2","1","2","1","1","2","2"
"215","19","3","3","4","2","1","1","2","1","2","1","2"
"216","19","2","2","3","1","2","1","2","1","1","2","2"
"217","19","2","1","9","1","1","2","1","2","1","1","2"
"218","19","3","3","4","1","1","1","2","1","1","1","2"
"219","19","2","1","2","1","1","1","1","2","1","1","1"
"220","19","2","2","4","1","1","1","1","2","2","1","2"
"221","19","2","8","3","1","2","1","2","8","1","2","2"
"222","19","2","1","3","1","1","1","1","1","2","1","1"
"223","19","2","3","4","1","1","2","1","8","1","1","2"
"224","19","2","2","1","2","1","2","2","1","1","2","2"
"225","19","2","1","2","1","2","1","2","1","1","2","1"
"226","19","2","1","3","1","2","1","2","1","1","2","2"
"227","19","3","1","2","1","1","1","2","2","1","2","2"
"228","19","2","1","2","2","2","1","2","1","1","1","2"
"229","19","4","1","4","2","1","1","1","2","2","1","2"
"230","19","2","2","3","1","1","1","1","1","1","1","2"
"231","19","2","1","2","1","2","1","2","1","1","2","1"
"232","19","3","1","4","1","2","1","1","1","1","1","1"
"233","19","4","1","4","2","2","1","2","1","1","2","2"
"234","19","2","1","3","1","2","1","1","1","2","1","1"
"235","19","4","2","4","1","1","1","2","1","2","2","3"
"236","19","3","2","2","2","2","1","1","2","2","1","2"
"237","19","3","1","2","2","1","1","1","2","1","1","2"
"238","19","2","3","4","1","1","2","1","2","2","1","2"
"239","19","2","1","4","1","2","1","1","1","2","1","2"
"240","19","4","1","3","2","2","1","2","1","1","2","8"
"241","19","2","1","3","1","2","2","1","2","2","1","1"
"242","19","4","3","3","2","1","1","2","2","2","2","2"
"243","19","3","3","4","1","2","1","1","2","1","1","1"
"244","19","2","1","2","1","2","1","2","1","1","2","1"
"245","19","4","3","2","2","2","1","2","1","1","2","2"
"246","19","3","1","3","1","1","1","1","1","1","1","2"
"247","19","2","1","2","2","1","2","1","2","2","1","2"
"248","19","2","1","3","1","2","1","1","1","1","2","2"
"249","19","2","1","2","1","1","2","1","2","1","1","2"
"250","19","4","1","3","1","2","1","2","2","1","2","2"
"251","19","2","3","2","1","2","1","1","1","1","1","1"
"252","19","1","1","2","1","2","1","1","1","1","1","1"
"253","19","3","2","3","1","2","2","2","2","2","2","1"
"254","19","4","1","8","2","2","1","2","2","1","2","1"
"255","19","2","2","3","1","2","1","2","1","2","2","2"
"256","19","1","1","1","1","2","1","1","2","2","2","2"
"257","19","2","2","2","2","2","2","1","2","1","1","1"
"258","19","2","2","2","1","2","1","1","1","1","1","1"
"259","19","2","1","4","1","2","2","2","1","1","2","2"
"260","19","2","2","3","9","1","1","1","2","2","1","1"
"261","19","1","1","1","1","2","1","2","2","1","2","2"
"262","19","2","1","4","1","2","2","1","1","2","1","2"
"263","19","3","1","8","2","2","1","1","1","1","2","2"
"264","19","3","2","3","2","2","1","2","1","1","2","1"
"265","19","2","2","2","1","1","2","1","2","1","1","2"
"266","19","3","1","3","1","2","2","1","1","1","1","1"
"267","19","4","8","4","2","2","2","2","2","1","1","2"
"268","19","4","1","3","2","1","2","1","1","2","1","1"
"269","19","3","2","2","1","2","1","1","1","1","1","1"
"270","19","2","1","8","1","1","1","1","2","1","2","1"
"271","19","2","1","2","1","2","1","1","1","2","2","3"
"272","19","1","1","4","1","1","1","1","2","1","1","1"
"273","19","4","1","4","2","1","2","1","1","2","1","1"
"274","19","4","1","1","1","2","1","1","1","1","2","2"
"275","19","1","1","4","1","2","1","2","1","1","2","1"
"276","19","2","2","2","1","1","1","1","1","1","1","1"
"277","19","2","2","2","1","1","1","2","1","1","2","1"
"278","19","4","3","4","2","1","2","1","2","1","1","1"
"279","19","2","2","1","1","2","1","1","2","1","1","2"
"280","19","4","1","3","1","2","1","2","1","1","2","2"
"281","19","2","3","1","1","1","1","2","1","2","2","1"
"282","19","2","2","2","1","2","1","2","1","1","1","1"
"283","19","3","1","3","1","2","1","2","1","1","2","2"
